HPA_heart HPA_brain HPA_kidney AltIso_heart AltIso_brain GTEx_heart GTEx_brain GTEx_kidney
ENSG00000007968 0 0.1 0.1 0.16 0.04 0.00579823506996036 0.00730865728110075 0
ENSG00000008018 149.3 74.4 125.5 39.22 36.15 38.5110244750977 36.2548141479492 48.1282806396484
ENSG00000008056 3.3 115 0.2 1.19 121.26 0.262798756361008 32.3732719421387 0.107916481792927
ENSG00000008083 3.9 6.8 3.2 3.99 5.02 3.19528198242188 6.31209087371826 4.10283946990967
ENSG00000008086 2 11.4 3 1.15 5.72 0.512895166873932 2.19223213195801 1.06744456291199
ENSG00000008118 0 19.2 4.9 0 21.42 6.53274822235107 70.2131576538086 0.0728315338492393
ENSG00000008128 20.3 15 18.7 3.78 7.8 18.5367107391357 5.97437906265259 5.73577260971069
ENSG00000008196 0 0.1 7.3 0 0 0.00514570949599147 0.00324307545088232 0
ENSG00000008197 0 0 0 0 0 0 0 0
ENSG00000008226 0.2 0.4 0.3 0 0.1 0.911191403865814 0.576204121112823 0.0282514281570911
ENSG00000008256 19.5 17.2 10.8 7.34 5.51 9.62297916412354 8.67992687225342 4.29274368286133
ENSG00000008277 1.6 26.4 3.4 0 2.47 1.13308703899384 11.5092678070068 0.489223778247833
ENSG00000008282 55.5 35.8 94.8 10.21 9.05 30.6734561920166 19.2267646789551 60.5748558044434
ENSG00000008283 8.5 12.4 21.5 2.82 11.05 3.53247761726379 17.8924598693848 0.736834585666656
ENSG00000008294 24.1 79.3 37.2 6.99 28.21 15.5635395050049 22.4434700012207 23.471212387085
ENSG00000008311 13.1 10.7 17.6 4.4 1.21 49.2096214294434 7.29312658309937 11.6163291931152
ENSG00000008323 0.5 0.3 1.6 0.32 0.25 0.0408510155975819 0 0.0571881346404552
ENSG00000008324 12.1 18.7 15.5 7.39 15.25 13.3904848098755 27.8348026275635 4.29150629043579
ENSG00000008382 11 9.7 16.8 7.9 10.79 10.2317266464233 5.96082592010498 2.97171115875244
ENSG00000008394 22.5 59.3 226.3 8.36 12.94 0.668980479240417 8.12480640411377 1.4292459487915
ENSG00000008405 6.8 9.5 11.3 2.66 2.74 7.5991530418396 7.6802749633789 4.12312984466553
ENSG00000008438 0.1 0.1 0 0.14 0.43 0.0333413779735565 0.105066761374474 0.102685548365116
ENSG00000008441 44.4 86.2 11.9 25.05 113.8 17.0935840606689 10.2076282501221 31.6337471008301
ENSG00000008513 43 9.4 45 25.33 1.77 7.43999433517456 1.2595853805542 19.8947010040283
ENSG00000008516 0.4 0.8 0.3 0.16 0 0.805597841739655 0.28065299987793 0.353255301713943
ENSG00000008517 77.6 11.3 116.6 33.27 12.26 7.16323137283325 0.900887131690979 12.0795135498047
ENSG00000008710 29.3 35.1 14.5 8.6 5.53 26.4763584136963 12.9876003265381 8.41354370117188
ENSG00000008735 0.2 55.4 1.1 0.19 125.12 2.08021116256714 29.4700489044189 0.0744653865695
ENSG00000008838 27.7 35.5 24.9 12.56 16.86 23.7273731231689 14.7554845809937 18.5616359710693
ENSG00000008853 16.2 22 9.1 6.26 22.73 4.16589546203613 8.46427059173584 2.59659242630005
ENSG00000008869 7 10 7.4 3.51 5.52 4.72068166732788 10.0378198623657 2.24811410903931
ENSG00000008952 38.7 96.9 102.3 10.59 34.43 13.0393028259277 37.1355400085449 10.9172763824463
ENSG00000008988 643 232.9 478.9 445.07 450.42 646.045043945312 98.2769393920898 104.037437438965
ENSG00000009307 291.5 119 168.8 174.45 87.7 119.380569458008 87.0641708374023 639.080017089844
ENSG00000009335 22.9 17 20.1 11.25 7.01 8.10358238220215 14.0997829437256 19.994068145752
ENSG00000009413 3.8 6.5 4.5 0.69 1.97 4.31968975067139 5.94271564483643 6.60949039459229
ENSG00000009694 0.3 2.4 1 0.03 0.47 0.0366185680031776 3.8836042881012 0.303335875272751
ENSG00000009709 0 0.9 0 0 0 0 0.167417794466019 0.473376125097275
ENSG00000009724 0.7 1.2 0.7 0 0 0.986221730709076 1.62075924873352 0.874920725822449
ENSG00000009765 0.3 0.1 33.6 0 0 0 0.00388159067369998 0.0221294462680817
ENSG00000009780 6.3 5.1 6.9 2.57 2.65 2.4533851146698 3.69919395446777 6.83879518508911
ENSG00000009790 3.4 2.6 4.4 0 0.44 0.345552682876587 0.291253358125687 0.179510563611984
ENSG00000009830 5.4 10.8 7.9 1.33 4.39 8.04535293579102 4.36125326156616 2.59393882751465
ENSG00000009844 23.9 29.7 23.9 11.74 20.87 4.23803853988647 15.691143989563 20.742748260498
ENSG00000009950 1.6 5.1 20.3 0.49 2.47 8.49836444854736 4.40029954910278 4.6619725227356
ENSG00000009954 15.2 19.5 16.4 7.73 12.42 14.5970659255981 12.1539878845215 6.04097557067871
ENSG00000010017 20.8 32.9 19.5 3.44 5.28 15.218355178833 18.4849147796631 21.9643173217773
ENSG00000010030 0.4 0.5 0.6 0.22 0 0.914903521537781 0.138893038034439 0
ENSG00000010072 3.6 4.2 4.2 1.22 2.52 1.08462798595428 1.5437251329422 4.2142915725708
ENSG00000010165 9.5 11.8 12.6 10.81 35.18 4.19903564453125 5.8740496635437 4.69112396240234
ENSG00000010219 23.1 17.5 19.2 4.12 7.91 5.27068090438843 2.33778738975525 1.75021028518677
ENSG00000010244 50.2 49.6 46.4 27.49 27.82 15.7481298446655 8.9343032836914 10.3060874938965
ENSG00000010256 554.6 122.3 240.9 289.84 64.55 29.5176563262939 48.2074966430664 127.840316772461
ENSG00000010270 21.8 32.1 28.5 6.88 11.11 12.9359741210938 21.8498840332031 4.08836078643799
ENSG00000010278 117.8 133.3 217.8 55.23 114.28 20.3062305450439 18.7835693359375 8.77138233184814
ENSG00000010282 409.4 36.8 0.2 103.61 15.92 0.0692146196961403 9.39128112792969 68.1023559570312
ENSG00000010292 5.8 6.9 7.6 2.41 4.59 6.1428656578064 4.02419185638428 2.24089527130127
ENSG00000010295 13.3 15.2 7.4 4.49 8.75 11.3962383270264 6.8973126411438 2.48228192329407
ENSG00000010310 4.5 1.8 1 0.37 0.38 0.0786697417497635 0.877592206001282 0.0726866722106934
ENSG00000010318 11.4 5 5.2 0.38 0.78 1.37419307231903 3.31200623512268 2.08423447608948
ENSG00000010319 7.5 4.5 16.4 8.14 4.69 3.42866611480713 1.96790182590485 3.60740613937378
ENSG00000010322 21.7 46.3 25.2 5.04 30.62 59.6368370056152 22.8652935028076 5.1716251373291
ENSG00000010327 16.6 13.1 12.4 9.34 0.93 24.4877872467041 0.849816501140594 3.03109002113342
ENSG00000010361 5.7 11.1 20.1 7 11.14 14.0150260925293 5.98004531860352 2.33353900909424
ENSG00000010379 1.6 4.9 150.3 0.2 0.94 0.0328420512378216 2.82980132102966 0.125230491161346
ENSG00000010404 66.5 284.5 35.9 35.22 200.86 28.0279998779297 290.592468261719 8.36056137084961
ENSG00000010438 5 12.5 3.4 0 51.32 0.156832560896873 3.86725115776062 0
ENSG00000010539 3.1 3.9 3 1.87 0.96 1.90881097316742 2.56407499313354 1.25796365737915
ENSG00000010610 8.2 11.6 7.6 2.8 1.26 3.31992197036743 1.51425099372864 0.689531862735748
ENSG00000010626 7.6 9.6 11.2 3.75 9.49 4.83073568344116 5.49872016906738 2.72723984718323
ENSG00000010671 1.9 4.2 1 0.61 0.75 0.224244996905327 0.329770147800446 0.257069677114487
ENSG00000010803 31.1 8.8 17.5 13.98 5.82 31.2389640808105 6.9955039024353 9.170729637146
ENSG00000010810 40.4 132.6 35.5 11.61 74.33 13.4509325027466 27.9258499145508 1.72089111804962
ENSG00000010818 8.9 18.8 6.1 2.09 13.33 11.0163917541504 11.6765069961548 3.93822312355042
ENSG00000010932 0.9 0.4 189.9 0.09 0 0.690541565418243 0.0278982538729906 0.00908865872770548
ENSG00000011007 10.2 8.4 11.2 7.38 6.24 9.53748416900635 7.44807195663452 11.1921577453613
ENSG00000011021 9.6 18.4 8.2 2.54 9.17 20.3720703125 12.2293405532837 3.82465791702271
ENSG00000011028 27 6.3 13.2 6.03 0.86 33.0987548828125 3.17987990379333 1.77206325531006
ENSG00000011083 0 9 0 0.05 11.16 0.0893812626600266 0.171557769179344 0
ENSG00000011105 132.8 6 45.9 22.74 3.91 14.2060251235962 4.58738613128662 2.99143362045288
ENSG00000011132 6 5.8 9.4 2.39 1.57 15.3803081512451 2.5566246509552 2.02021074295044
ENSG00000011143 5.8 8.6 10.1 1.3 2.42 8.15918827056885 3.44389986991882 2.4151303768158
