ENSG_ID	HPA_heart	HPA_brain	HPA_kidney
211	ENSG00000008282	55.5	35.8	94.8
212	ENSG00000008283	8.5	12.4	21.5
213	ENSG00000008294	24.1	79.3	37.2
214	ENSG00000008300	0.1	6.5	0.2
215	ENSG00000008311	13.1	10.7	17.6
216	ENSG00000008323	0.5	0.3	1.6
217	ENSG00000008324	12.1	18.7	15.5
218	ENSG00000008382	11	9.7	16.8
219	ENSG00000008394	22.5	59.3	226.3
220	ENSG00000008405	6.8	9.5	11.3
221	ENSG00000008438	0.1	0.1	0
222	ENSG00000008441	44.4	86.2	11.9
223	ENSG00000008513	43	9.4	45
224	ENSG00000008516	0.4	0.8	0.3
225	ENSG00000008517	77.6	11.3	116.6
226	ENSG00000008710	29.3	35.1	14.5
227	ENSG00000008735	0.2	55.4	1.1
228	ENSG00000008838	27.7	35.5	24.9
229	ENSG00000008853	16.2	22	9.1
230	ENSG00000008869	7	10	7.4
231	ENSG00000008952	38.7	96.9	102.3
232	ENSG00000008988	643	232.9	478.9
233	ENSG00000009307	291.5	119	168.8
234	ENSG00000009335	22.9	17	20.1
235	ENSG00000009413	3.8	6.5	4.5
236	ENSG00000009694	0.3	2.4	1
237	ENSG00000009709	0	0.9	0
238	ENSG00000009724	0.7	1.2	0.7
239	ENSG00000009765	0.3	0.1	33.6
240	ENSG00000009780	6.3	5.1	6.9
241	ENSG00000009790	3.4	2.6	4.4
242	ENSG00000009830	5.4	10.8	7.9
243	ENSG00000009844	23.9	29.7	23.9
244	ENSG00000009950	1.6	5.1	20.3
245	ENSG00000009954	15.2	19.5	16.4
246	ENSG00000010017	20.8	32.9	19.5
247	ENSG00000010030	0.4	0.5	0.6
248	ENSG00000010072	3.6	4.2	4.2
249	ENSG00000010165	9.5	11.8	12.6
250	ENSG00000010219	23.1	17.5	19.2
251	ENSG00000010244	50.2	49.6	46.4
252	ENSG00000010256	554.6	122.3	240.9
253	ENSG00000010270	21.8	32.1	28.5
254	ENSG00000010278	117.8	133.3	217.8
255	ENSG00000010282	409.4	36.8	0.2
256	ENSG00000010292	5.8	6.9	7.6
257	ENSG00000010295	13.3	15.2	7.4
258	ENSG00000010310	4.5	1.8	1
259	ENSG00000010318	11.4	5	5.2
260	ENSG00000010319	7.5	4.5	16.4
261	ENSG00000010322	21.7	46.3	25.2
262	ENSG00000010327	16.6	13.1	12.4
263	ENSG00000010361	5.7	11.1	20.1
264	ENSG00000010379	1.6	4.9	150.3
265	ENSG00000010404	66.5	284.5	35.9
266	ENSG00000010438	5	12.5	3.4
267	ENSG00000010539	3.1	3.9	3
268	ENSG00000010610	8.2	11.6	7.6
269	ENSG00000010626	7.6	9.6	11.2
270	ENSG00000010671	1.9	4.2	1
271	ENSG00000010704	3.9	1.6	6.6
272	ENSG00000010803	31.1	8.8	17.5
273	ENSG00000010810	40.4	132.6	35.5
274	ENSG00000010818	8.9	18.8	6.1
275	ENSG00000010932	0.9	0.4	189.9
276	ENSG00000011007	10.2	8.4	11.2
277	ENSG00000011009	14.8	7.8	28.5
278	ENSG00000011021	9.6	18.4	8.2
279	ENSG00000011028	27	6.3	13.2
280	ENSG00000011052	101.3	53.7	43.3
281	ENSG00000011083	0	9	0
282	ENSG00000011105	132.8	6	45.9
283	ENSG00000011114	6.7	5.9	11.7
284	ENSG00000011132	6	5.8	9.4
285	ENSG00000011143	5.8	8.6	10.1
286	ENSG00000011198	12.2	8.7	13.1
287	ENSG00000011201	4.3	19.3	0.8
288	ENSG00000011243	32.3	33.4	32.9
289	ENSG00000011258	3.3	5.7	5.9
290	ENSG00000011260	6.4	16.6	17.9
291	ENSG00000011275	18.3	13	10.2
292	ENSG00000011295	20.3	35.4	33
293	ENSG00000011304	35.4	29.1	92.5
294	ENSG00000011332	0.2	16.1	0
295	ENSG00000011347	12.2	53.1	5.2
